"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",222025
1,"Animal Products",101,"Live animals",10102,"Bovine",336202
1,"Animal Products",101,"Live animals",10103,"Pigs",554809
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",7113
1,"Animal Products",101,"Live animals",10105,"Poultry",6217790
1,"Animal Products",101,"Live animals",10106,"Other Animals",776751
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",11255139
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",91202400
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1199202
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",9909590
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",681053
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",117421
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",326660
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",244188
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",32822262
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",1723396
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",43229394
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",3524897
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",9886501
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",5832.999999999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",45278925
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",50359747
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",10361878
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",21079235
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",5542632
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",14129313
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",12732884.000000002
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",447492
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",27549
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",2457420
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",236104.00000000003
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",6391533
2,"Vegetable Products",206,"Trees and other live plants",20601,"Bulbs and Roots",601122
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",75004223
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",29826311
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",37379762
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",25469
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",153035
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",268808
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",1723116
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",361385
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",9743869
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",263399
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",50964
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",34108518
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",1272269
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",1085629
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",998976.0000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",724388
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",105685111
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",2190660
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",963325
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",1179702761
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",1108507860
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",341966
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",818360
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,"Melons",101026293
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",658668
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",135764
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",8676403
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",81581931
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",93423
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",224196
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20814,"Citrus and Melon Peels",8
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",308892299
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",621133
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20903,"Maté",952.0000000000001
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",1477103
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20905,"Vanilla",8051
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20906,"Cinnamon",142197
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",18135
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",561847
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",91377
2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",6700455
2,"Vegetable Products",210,"Cereals",21005,"Corn",49058
2,"Vegetable Products",210,"Cereals",21006,"Rice",3963642
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",344
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",20712
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",3937070
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",1700535
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",84220
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",2249867
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",1432
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",1026681
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",135180
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",184483
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21109,"Wheat Gluten",43733
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",5610
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21202,"Ground Nuts",76071
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21204,"Linseed",20298
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21206,"Sunflower Seeds",2987
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21207,"Other Oily Seeds",3363751
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21208,"Oil Seed Flower",28057
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21209,"Sowing Seeds",12188297
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21211,"Perfume Plants",2133614
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21212,"Locust beans, seaweed, sugar beet, cane, for food",948770
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21213,"Cereal Straws",1291
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21301,"Insect Resins",49587
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",2896268
2,"Vegetable Products",214,"Vegetable plaiting materials",21401,"Vegetable Plaiting Materials",17926
